indic_is,unit,sizen_r2,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 
E_IACC,PC_ENT,10_C10_18,AT	99 	96 	97 	98 	95 	96 	93 	97 
E_IACC,PC_ENT,10_C10_18,BE	100 	99 	94 	98 	97 	98 	97 	: u
E_IACC,PC_ENT,10_C10_18,BG	89 	87 	87 	85 	83 	81 	81 	70 
E_IACC,PC_ENT,10_C10_18,CY	97 	91 	91 	93 	90 	92 	88 	88 
E_IACC,PC_ENT,10_C10_18,CZ	97 	97 	97 	95 	94 	95 	92 	92 
E_IACC,PC_ENT,10_C10_18,DE	96 	97 	95 	97 	93 	94 	93 	93 
E_IACC,PC_ENT,10_C10_18,DK	100 	100 	100 	100 	99 	98 	98 	98 
E_IACC,PC_ENT,10_C10_18,EA	97 	97 	96 	96 	95 	94 	93 	92 
E_IACC,PC_ENT,10_C10_18,EE	95 	96 	94 	95 	97 	95 	95 	95 
E_IACC,PC_ENT,10_C10_18,EL	93 	91 	93 	90 	91 	94 	89 	85 
E_IACC,PC_ENT,10_C10_18,ES	97 	96 	95 	96 	97 	95 	95 	94 
E_IACC,PC_ENT,10_C10_18,EU15	97 	97 	96 	97 	95 	94 	93 	92 
E_IACC,PC_ENT,10_C10_18,EU25	: 	: 	: 	: 	: 	: 	93 	91 
E_IACC,PC_ENT,10_C10_18,EU27	95 	95 	94 	94 	93 	92 	91 	89 
E_IACC,PC_ENT,10_C10_18,EU28	95 	95 	94 	94 	93 	92 	91 	89 
E_IACC,PC_ENT,10_C10_18,FI	100 	100 	100 	100 	100 	100 	100 	100 
E_IACC,PC_ENT,10_C10_18,FR	98 	97 	97 	97 	95 	88 	92 	90 
E_IACC,PC_ENT,10_C10_18,HR	84 	83 	95 	94 	92 	90 	92 	88 
E_IACC,PC_ENT,10_C10_18,HU	90 	88 	83 	86 	86 	85 	85 	81 
E_IACC,PC_ENT,10_C10_18,IE	100 	99 	98 	98 	97 	98 	97 	95 
E_IACC,PC_ENT,10_C10_18,IS	: 	: 	100 	100 	100 	: 	99 	: 
E_IACC,PC_ENT,10_C10_18,IT	97 	97 	98 	96 	95 	93 	92 	89 
E_IACC,PC_ENT,10_C10_18,LT	100 	100 	100 	99 	100 	98 	96 	93 
E_IACC,PC_ENT,10_C10_18,LU	97 	98 	100 	94 	92 	90 	89 	90 
E_IACC,PC_ENT,10_C10_18,LV	96 	97 	94 	91 	88 	90 	87 	84 
E_IACC,PC_ENT,10_C10_18,MK	89 	91 	88 	89 	79 	73 	85 	: 
E_IACC,PC_ENT,10_C10_18,MT	98 	95 	96 	87 	87 	92 	93 	92 
E_IACC,PC_ENT,10_C10_18,NL	100 	100 	100 	99 	100 	100 	99 	95 
E_IACC,PC_ENT,10_C10_18,NO	96 	99 	96 	97 	96 	98 	96 	97 
E_IACC,PC_ENT,10_C10_18,PL	91 	87 	89 	91 	89 	89 	92 	84 
E_IACC,PC_ENT,10_C10_18,PT	96 	97 	93 	93 	96 	95 	94 	91 
E_IACC,PC_ENT,10_C10_18,RO	83 	82 	76 	79 	76 	71 	74 	68 
E_IACC,PC_ENT,10_C10_18,RS	: 	: 	100 	: 	: 	: 	: 	: 
E_IACC,PC_ENT,10_C10_18,SE	100 	97 	97 	100 	98 	96 	99 	96 
E_IACC,PC_ENT,10_C10_18,SI	100 	99 	95 	97 	98 	99 	98 	97 
E_IACC,PC_ENT,10_C10_18,SK	96 	95 	97 	99 	99 	95 	96 	98 
E_IACC,PC_ENT,10_C10_18,TR	92 	91 	: 	: 	: 	: 	89 	: 
E_IACC,PC_ENT,10_C10_18,UK	95 	99 	96 	98 	95 	98 	95 	93 
E_IACC,PC_ENT,10_C10_33,AT	100 	99 	99 	99 	97 	98 	97 	99 
E_IACC,PC_ENT,10_C10_33,BE	100 	99 	97 	98 	98 	98 	98 	: u
E_IACC,PC_ENT,10_C10_33,BG	91 	91 	90 	89 	88 	87 	85 	77 
E_IACC,PC_ENT,10_C10_33,CY	98 	95 	94 	95 	93 	91 	90 	90 
E_IACC,PC_ENT,10_C10_33,CZ	98 	98 	98 	98 	98 	97 	96 	95 
E_IACC,PC_ENT,10_C10_33,DE	98 	99 	99 	99 	97 	97 	97 	97 
E_IACC,PC_ENT,10_C10_33,DK	100 	100 	100 	99 	100 	98 	98 	: u
E_IACC,PC_ENT,10_C10_33,EA	98 	98 	98 	98 	98 	97 	97 	96 
E_IACC,PC_ENT,10_C10_33,EE	96 	97 	96 	97 	98 	96 	97 	95 
E_IACC,PC_ENT,10_C10_33,EL	94 	93 	96 	92 	94 	96 	93 	89 
E_IACC,PC_ENT,10_C10_33,ES	98 	97 	98 	98 	98 	97 	97 	96 
E_IACC,PC_ENT,10_C10_33,EU15	98 	98 	98 	98 	98 	97 	97 	96 
E_IACC,PC_ENT,10_C10_33,EU25	: 	: 	: 	: 	: 	: 	96 	95 
E_IACC,PC_ENT,10_C10_33,EU27	97 	97 	97 	97 	96 	96 	95 	94 
E_IACC,PC_ENT,10_C10_33,EU28	97 	97 	97 	97 	96 	96 	95 	94 
E_IACC,PC_ENT,10_C10_33,FI	100 	100 	100 	100 	100 	100 	100 	100 
E_IACC,PC_ENT,10_C10_33,FR	99 	: c	99 	99 	98 	95 	97 	95 
E_IACC,PC_ENT,10_C10_33,HR	88 	88 	97 	96 	95 	94 	93 	93 
E_IACC,PC_ENT,10_C10_33,HU	94 	92 	90 	90 	91 	91 	90 	88 
E_IACC,PC_ENT,10_C10_33,IE	100 	98 	99 	99 	98 	99 	98 	97 
E_IACC,PC_ENT,10_C10_33,IS	: 	: 	100 	100 	99 	: 	99 	: 
E_IACC,PC_ENT,10_C10_33,IT	99 	99 	99 	98 	98 	97 	96 	95 
E_IACC,PC_ENT,10_C10_33,LT	100 	100 	100 	99 	100 	99 	97 	95 
E_IACC,PC_ENT,10_C10_33,LU	99 	99 	100 	97 	97 	96 	95 	95 
E_IACC,PC_ENT,10_C10_33,LV	97 	97 	96 	93 	90 	91 	89 	88 
E_IACC,PC_ENT,10_C10_33,MK	93 	: u	91 	91 	: u	81 	88 	: 
E_IACC,PC_ENT,10_C10_33,MT	98 	96 	97 	94 	92 	94 	94 	90 
E_IACC,PC_ENT,10_C10_33,NL	100 	100 	100 	100 	100 	100 	98 	97 
E_IACC,PC_ENT,10_C10_33,NO	98 	99 	98 	98 	98 	98 	98 	97 
E_IACC,PC_ENT,10_C10_33,PL	94 	92 	94 	94 	93 	93 	95 	90 
E_IACC,PC_ENT,10_C10_33,PT	98 	98 	96 	96 	97 	97 	97 	94 
E_IACC,PC_ENT,10_C10_33,RO	85 	85 	82 	84 	79 	72 	78 	71 
E_IACC,PC_ENT,10_C10_33,RS	: 	: 	100 	: 	: 	: 	: 	: 
E_IACC,PC_ENT,10_C10_33,SE	99 	98 	98 	98 	99 	97 	97 	97 
E_IACC,PC_ENT,10_C10_33,SI	100 	99 	98 	98 	98 	99 	99 	97 
E_IACC,PC_ENT,10_C10_33,SK	98 	98 	99 	99 	98 	98 	97 	99 
E_IACC,PC_ENT,10_C10_33,TR	95 	94 	: 	: 	: 	: 	91 	: 
E_IACC,PC_ENT,10_C10_33,UK	98 	98 	98 	99 	97 	98 	98 	97 
E_IACC,PC_ENT,10_C10_N82_XK,AT	: 	: 	: 	: 	: 	: 	97 	98 
E_IACC,PC_ENT,10_C10_N82_XK,BE	: 	: 	: 	: 	: 	: 	: u	97 
E_IACC,PC_ENT,10_C10_N82_XK,BG	: 	: 	: 	: 	: 	: 	85 	83 
E_IACC,PC_ENT,10_C10_N82_XK,CY	: 	: 	: 	: 	: 	: 	: u	88 
E_IACC,PC_ENT,10_C10_N82_XK,CZ	: 	: 	: 	: 	: 	: 	95 	95 
E_IACC,PC_ENT,10_C10_N82_XK,DE	: 	: 	: 	: 	: 	: 	97 	97 
E_IACC,PC_ENT,10_C10_N82_XK,DK	: 	: 	: 	: 	: 	: 	97 	98 
E_IACC,PC_ENT,10_C10_N82_XK,EA	: 	: 	: 	: 	: 	: 	96 	95 
E_IACC,PC_ENT,10_C10_N82_XK,EE	: 	: 	: 	: 	: 	: 	96 	95 
E_IACC,PC_ENT,10_C10_N82_XK,EL	: 	: 	: 	: 	: 	: 	90 	89 
E_IACC,PC_ENT,10_C10_N82_XK,ES	: 	: 	: 	: 	: 	: 	97 	95 
E_IACC,PC_ENT,10_C10_N82_XK,EU15	: 	: 	: 	: 	: 	: 	95 	95 
E_IACC,PC_ENT,10_C10_N82_XK,EU25	: 	: 	: 	: 	: 	: 	95 	94 
E_IACC,PC_ENT,10_C10_N82_XK,EU27	: 	: 	: 	: 	: 	: 	94 	93 
E_IACC,PC_ENT,10_C10_N82_XK,EU28	: 	: 	: 	: 	: 	: 	94 	93 
E_IACC,PC_ENT,10_C10_N82_XK,FI	: 	: 	: 	: 	: 	: 	: u	100 
E_IACC,PC_ENT,10_C10_N82_XK,FR	: 	: 	: 	: 	: 	: 	97 	96 
E_IACC,PC_ENT,10_C10_N82_XK,HR	: 	: 	: 	: 	: 	: 	95 	95 
E_IACC,PC_ENT,10_C10_N82_XK,HU	: 	: 	: 	: 	: 	: 	90 	87 
E_IACC,PC_ENT,10_C10_N82_XK,IE	: 	: 	: 	: 	: 	: 	92 	91 
E_IACC,PC_ENT,10_C10_N82_XK,IS	: 	: 	: 	: 	: 	: 	98 	: 
E_IACC,PC_ENT,10_C10_N82_XK,IT	: 	: 	: 	: 	: 	: 	94 	94 
E_IACC,PC_ENT,10_C10_N82_XK,LT	: 	: 	: 	: 	: 	: 	96 	95 
E_IACC,PC_ENT,10_C10_N82_XK,LU	: 	: 	: 	: 	: 	: 	: c	96 
E_IACC,PC_ENT,10_C10_N82_XK,LV	: 	: 	: 	: 	: 	: 	91 	87 
E_IACC,PC_ENT,10_C10_N82_XK,MT	: 	: 	: 	: 	: 	: 	: c	94 
E_IACC,PC_ENT,10_C10_N82_XK,NL	: 	: 	: 	: 	: 	: 	98 	96 
E_IACC,PC_ENT,10_C10_N82_XK,NO	: 	: 	: 	: 	: 	: 	97 	97 
E_IACC,PC_ENT,10_C10_N82_XK,PL	: 	: 	: 	: 	: 	: 	96 	90 
E_IACC,PC_ENT,10_C10_N82_XK,PT	: 	: 	: 	: 	: 	: 	94 	93 
E_IACC,PC_ENT,10_C10_N82_XK,RO	: 	: 	: 	: 	: 	: 	79 	72 
E_IACC,PC_ENT,10_C10_N82_XK,SE	: 	: 	: 	: 	: 	: 	96 	95 
E_IACC,PC_ENT,10_C10_N82_XK,SI	: 	: 	: 	: 	: 	: 	97 	96 
E_IACC,PC_ENT,10_C10_N82_XK,SK	: 	: 	: 	: 	: 	: 	98 	98 
E_IACC,PC_ENT,10_C10_N82_XK,TR	: 	: 	: 	: 	: 	: 	91 	: 
E_IACC,PC_ENT,10_C10_N82_XK,UK	: 	: 	: 	: 	: 	: 	91 	91 
E_IACC,PC_ENT,10_C10_S951_XK,AT	99 	99 	98 	98 	98 	98 	97 	: 
E_IACC,PC_ENT,10_C10_S951_XK,BE	99 	99 	97 	97 	97 	96 	97 	: 
E_IACC,PC_ENT,10_C10_S951_XK,BG	91 	91 	91 	89 	87 	87 	85 	: 
E_IACC,PC_ENT,10_C10_S951_XK,CY	96 	95 	96 	93 	95 	91 	88 	: 
E_IACC,PC_ENT,10_C10_S951_XK,CZ	98 	98 	98 	96 	97 	96 	95 	: 
E_IACC,PC_ENT,10_C10_S951_XK,DE	98 	98 	98 	98 	97 	97 	97 	: 
E_IACC,PC_ENT,10_C10_S951_XK,DK	100 	100 	99 	99 	99 	98 	97 	: 
E_IACC,PC_ENT,10_C10_S951_XK,EA	98 	98 	98 	97 	97 	96 	96 	: 
E_IACC,PC_ENT,10_C10_S951_XK,EE	96 	97 	96 	97 	96 	96 	96 	: 
E_IACC,PC_ENT,10_C10_S951_XK,EL	88 	87 	89 	87 	91 	93 	90 	: 
E_IACC,PC_ENT,10_C10_S951_XK,ES	98 	98 	98 	97 	96 	97 	97 	: 
E_IACC,PC_ENT,10_C10_S951_XK,EU15	98 	98 	98 	97 	97 	96 	95 	: 
E_IACC,PC_ENT,10_C10_S951_XK,EU25	: 	: 	: 	: 	: 	: 	95 	: 
